Jahr;Bundesland;Voranschlag/Rechnungsabschluss;Datenquelle;Gemeindekennziffer;Gemeindename;Haushalt;Ansatz-Uab;Ansatz-Ugl;Konto-Grp;Konto-Ugl;Vorhabencode;Mvag;Ansatz-Text;Konto-Text;Wert
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;000;000;670;000;0000000;2222;"Gewählte Gemeindeorgane";Versicherungen;1300,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;000;000;721;000;0000000;2225;"Gewählte Gemeindeorgane";"Bezüge der gewählten Organe ";2035000,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;000;000;728;000;0000000;2225;"Gewählte Gemeindeorgane";"Entgelte für sonstige Leistungen";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;000;000;757;000;0000000;2234;"Gewählte Gemeindeorgane";"Transfers an private Organisationen ohne Erwerbszweck ";150000,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;000;000;760;000;0000000;2234;"Gewählte Gemeindeorgane";"Pensionen und sonstige Ruhebezüge (einschließlich Dienstgeberbeiträge)";397000,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;400;200;0000000;2221;Zentralamt;"Geringwertige Wirtschaftsgüter (GWG)";300,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;452;000;0000000;2221;Zentralamt;"Treibstoffe ";25000,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;500;000;0000000;2211;Zentralamt;"Geldbezüge der Beamtinnen und Beamten der Verwaltung";295300,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;510;000;0000000;2211;Zentralamt;"Geldbezüge der Vertragsbediensteten der Verwaltung";282000,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;565;000;0000000;2211;Zentralamt;Mehrleistungsvergütungen;1400,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;569;000;0000000;2211;Zentralamt;"Sonstige Nebengebühren";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Ergebnishaushalt;010;000;580;000;0000000;2212;Zentralamt;"Dienstgeberbeiträge zum Ausgleichsfonds für Familienbeihilfen";15400,00
