Jahr;Bundesland;Voranschlag/Rechnungsabschluss;Datenquelle;Gemeindekennziffer;Gemeindename;Haushalt;Ansatz-Uab;Ansatz-Ugl;Konto-Grp;Konto-Ugl;Vorhabencode;Mvag;Ansatz-Text;Konto-Text;Wert
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;270;900;0000000;4110;"Allgemeine Angelegenheiten";"Finanzamt Vorsteuerbeträge (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;020;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;025;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;027;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;034;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;061;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;070;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;279;071;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige für Dritte geleistete Vorschüsse (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;287;060;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige kurzfr. Forderungen";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;287;064;0000000;4110;"Allgemeine Angelegenheiten";"Sonstige kurzfr. Forderungen";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;360;000;0000000;4120;"Allgemeine Angelegenheiten";"Umsatzsteuer (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;360;001;0000000;4120;"Allgemeine Angelegenheiten";"Umsatzsteuer (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;360;059;0000000;4120;"Allgemeine Angelegenheiten";"Umsatzsteuer (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;360;900;0000000;4120;"Allgemeine Angelegenheiten";"Umsatzsteuer (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;360;910;0000000;4120;"Allgemeine Angelegenheiten";"Umsatzsteuer (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;033;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;034;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;036;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;037;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;043;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;067;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;082;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;100;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;300;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;361;400;0000000;4120;"Allgemeine Angelegenheiten";"Erläge von/für Dienststellen der Gebietskörperschaften (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;362;020;0000000;4120;"Allgemeine Angelegenheiten";"Gehaltsabzugsgebarungen (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;362;021;0000000;4120;"Allgemeine Angelegenheiten";"Gehaltsabzugsgebarungen (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;362;023;0000000;4120;"Allgemeine Angelegenheiten";"Gehaltsabzugsgebarungen (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;362;024;0000000;4120;"Allgemeine Angelegenheiten";"Gehaltsabzugsgebarungen (nicht voranschlagswirksame Gebarung)";0,00
2026;Niederösterreich;Voranschlag;Gemeinde;30201;"St. Pölten";Finanzierungshaushalt;000;000;363;030;0000000;4120;"Allgemeine Angelegenheiten";"Einbehaltungen und Überzahlungen von Dritten (nicht voranschlagswirksame Gebarung)";0,00
